,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
119,關西,50928.2051521,28258.2792416,28258.2792416,14050.6771239,19570.3137290,11699.3789860,21732.4454017,33675.5977922,8639.1976097,13106.3941682,3104.6609903,65185.2566974,29249.2021365,69549.8646554,69474.4827150,72891.1932479,94912.9378280,93288.7631110,87596.6190219,108199.6627543,120937.1824921,114839.2517154,159128.5519540,183510.8706900,209547.6075481,215720.6027334,215720.6027334,237195.0582715,238261.8902991,238563.0094116,237397.2712991,238764.3708883,255442.2426991,255442.2426991,262739.6418115,317801.8336958,250151.6649130,205178.0269746,310460.7988501,310407.2957217,282002.8826601,291726.4544911,280375.3606039,194711.4441431
120,竹南,77283.2326577,39609.6127597,39609.6127597,42745.3584041,42943.2194475,37999.9136254,49423.8443226,60686.0741594,38661.8572048,28851.8065538,33426.2397327,45402.3719126,5376.2125039,46467.5382156,45908.7377712,55033.0627729,68247.1062027,66624.5669720,63210.9078115,82009.9495052,97255.5089253,100458.6336220,138795.8323840,161846.2774633,187267.5443357,194115.8551972,194115.8551972,217309.9686786,218537.1034446,219145.0163738,218062.7375784,221072.8801875,237235.5337084,237235.5337084,245754.6162547,305354.3028283,223213.9185448,177523.7170727,305642.9804423,305761.8217173,252478.5161368,262048.4409756,250674.6838989,186320.7473590
121,南庄,78787.1737791,47976.8608716,47976.8608716,41975.9636689,45861.7310645,38860.5430250,49614.2021168,61547.6902011,36364.5689700,33448.5992642,30804.1192266,37514.1263235,11081.3872665,41625.7134606,41573.9765340,45824.6754170,67419.7340182,65807.4406592,59697.5852018,80497.9398535,93023.6131524,89673.3337731,131869.2464499,155962.1129527,181898.6840857,188221.7325875,188221.7325875,210194.0569295,211313.4097744,211716.0694839,210577.1363872,212553.8424475,229051.1916007,229051.1916007,236851.1858073,294199.8907781,222426.0901323,177718.2974623,291665.7305504,291734.1220234,263008.1133523,272260.7450432,260859.6371843,202340.3478397
122,大湖,103311.1067688,70979.2110397,70979.2110397,66445.8958553,70324.2378215,63412.4093815,74121.9718765,86063.0700193,60702.9660837,57453.3144867,55198.1128230,13117.5650831,28776.0048329,17618.0316303,17873.3620028,22329.0643058,44818.7189926,43274.9654728,35731.3172219,57127.2433027,68564.6934734,67725.3658179,107564.5144274,131473.0900952,157367.3054310,163748.5860274,163748.5860274,186004.8860732,187158.8916416,187631.2396593,186511.9467634,188944.0190609,205284.2883727,205284.2883727,213464.6091072,272609.8275842,198667.7458810,154518.3482259,274293.4421428,274470.5173061,250033.4151413,258719.9652652,247332.5157216,214300.5997214
123,後龍,92813.2581504,54671.6529169,54671.6529169,57786.5909630,58483.4662677,53283.9291943,64709.7813952,76122.6052994,53260.0183486,44410.2775811,47808.1986730,33774.5522871,15461.0291155,32781.0211412,31984.8287071,43808.2563424,52793.6696003,51177.0731215,48444.4951922,66599.3787656,82403.0829021,89315.5346399,124788.1087133,147323.3346385,172513.2328234,179533.2899490,179533.2899490,203188.8915240,204463.2480588,205166.3445008,204112.9904321,207661.1843745,223610.9541548,223610.9541548,232526.0962000,293663.0993278,207648.7048265,161962.4318563,297138.0453942,297333.3396670,241177.5309680,250473.2253431,239074.5458055,191300.4242176
124,明德,87564.1372161,52650.2359683,52650.2359683,51352.9684719,53648.3192754,47478.4746203,58714.9145223,70490.7729828,46219.9587332,40069.3233287,40634.7063269,31588.4258564,10220.9410375,33474.9313927,33102.1350418,41111.4936009,57438.7460114,55810.3387665,50958.6668121,70893.9721180,84870.2674468,86500.5242000,125520.1513368,148938.7757245,174574.4435441,181233.3689249,181233.3689249,204040.2452183,205236.1869792,205785.5632586,204686.9525479,207441.8625158,223686.5810361,223686.5810361,232051.7031887,291398.7918107,212764.8450329,167625.1926327,292127.0369247,292266.7208449,251342.2804453,260555.4705467,249153.0737000,198286.7500432
125,通霄,109057.4259735,71642.3850716,71642.3850716,73266.3233205,74839.6492923,69146.1350441,80494.3507755,92142.8317678,68267.6177022,60889.5156650,62693.4426441,22155.6652245,30972.1534266,17739.0959868,16602.5010240,31639.2539161,35986.9642739,34361.1557948,31630.2641989,49728.3897074,65481.9031661,75635.4176346,108285.3998486,130505.0902152,155595.7125915,162678.0164659,162678.0164659,186554.0022240,187854.5947548,188612.9947062,187577.5065364,191475.1013800,207269.7472189,207269.7472189,216450.0698663,278726.1887464,191173.1235293,145768.1759512,285042.9933322,285310.3819015,233000.3230049,241867.8132680,230468.1499693,201656.9273524
126,馬都安,96609.8166697,65647.8687790,65647.8687790,59701.9120350,64014.3877863,56897.3288961,67415.8774418,79357.4227559,53866.4717587,51541.0874261,48412.2244573,19500.8289703,24323.0601958,24835.1273369,25111.0690548,27677.2052889,52036.2525886,50486.1950152,42916.5211464,64358.7474498,75480.7287783,72136.0143352,113708.4055379,137883.1996682,163877.6349171,170124.4234848,170124.4234848,192021.4568755,193141.4140271,193548.3283150,192411.1958622,194480.2161578,210938.6251403,210938.6251403,218848.1552133,276973.8721129,205830.9396773,161744.6471693,276778.5378661,276912.0542635,255882.0496305,264689.2173436,253293.2489477,213390.9437453
127,頭份,77179.9921054,40785.6182261,40785.6182261,41954.9845802,42918.1505287,37476.2867742,48895.4055340,60375.5009638,37518.3553033,28972.1520461,32131.5940249,43544.0607922,2199.0527295,45178.8904578,44710.6364658,53005.6772316,67892.6184665,66264.3396309,62298.8903251,81571.9725363,96319.5240820,98261.5088270,137390.7657466,160666.6057325,186206.7127155,192954.0193908,192954.0193908,215914.7412696,217120.8254001,217687.9916666,216594.0053403,219398.9396082,235633.5614443,235633.5614443,244011.1013138,303169.0314765,223088.2560588,177570.7106500,302882.2815084,302990.7207632,254644.4458318,264152.4129382,252770.9540053,189505.8809312
128,造橋,84596.7250140,47889.9335977,47889.9335977,49150.9377772,50353.1521321,44804.2019825,56204.1329787,67749.8454643,44494.6978442,36412.2894365,39013.9433425,37157.7701961,6674.3921236,38117.0095651,37575.5123241,46884.0443587,60451.7835742,58823.5976928,54994.4601964,74136.8650539,89033.8639155,92412.0178422,130438.7458077,153532.6792749,178996.0044768,185808.6918739,185808.6918739,208954.7499122,210179.9837069,210785.4145080,209702.7184488,212728.3055543,228880.3679225,228880.3679225,237424.9901592,297261.5262608,215654.5766855,170167.1129807,298405.2874479,298548.7189099,249500.6655858,258873.7491158,247479.8425849,192059.1448765
129,苗栗,93234.5669586,56909.1067730,56909.1067730,57345.6881787,59102.2408167,53258.1802247,64587.9979074,76267.4177388,52373.4103764,45268.3779627,46808.4870911,28868.3041429,15173.9941635,29171.6502184,28588.5904531,38798.8044993,51685.6961427,50055.6238799,45971.6143440,65294.7479530,80008.6787973,84411.4409695,121509.5462197,144524.4902857,169971.2837405,176796.5204377,176796.5204377,200014.0222416,201248.7565017,201874.1802662,200797.6914617,203958.7820086,220055.2598188,220055.2598188,228710.4854625,289075.8549282,206989.0366402,161669.4909702,291575.1268018,291753.9577088,245139.7705694,254302.2600552,242898.6097793,197303.6206189
130,銅鑼,101710.8923054,65901.8495709,65901.8495709,65472.3862595,67734.4013715,61630.4356296,72861.1030075,84642.9932950,60253.0819332,54028.5678475,54659.3784074,20814.3678629,23918.1306073,20210.3671104,19595.7305929,30858.4467023,43302.7198450,41675.5349814,37042.0544799,56742.6726538,71059.9323159,76314.7048984,112537.8319961,135526.2575799,160986.6132134,167799.4015080,167799.4015080,191034.1646700,192273.6904630,192910.0615967,191837.1964426,195090.3041743,211145.8549783,211145.8549783,219881.9625714,280683.9846008,198619.0375870,153541.4913704,284434.0110897,284646.4283710,241692.3421853,250619.5883228,239217.6952286,203327.8355890
131,卓蘭,115379.3164534,83216.4901359,83216.4901359,78475.1961682,82586.8076788,75593.9830983,86183.9359281,98126.5567509,72641.5526970,69767.7429785,67188.3266853,851.2759957,40885.0819372,8965.5698849,10096.8057834,10877.7377319,35959.7491560,34567.0499588,25245.1936241,47002.4320599,56797.0039754,56426.3328259,95250.6406520,119213.8270797,145154.8172336,151479.2110237,151479.2110237,173691.4084157,174847.4655693,175326.3162455,174209.3995256,176733.8569817,193033.7431304,193033.7431304,201311.0646762,261067.5012094,187596.9812907,144013.9698332,264568.8336665,264795.4379359,246125.9059271,254458.1458788,243111.5098453,222691.6057001
132,西湖,98748.5779111,60664.9356793,60664.9356793,63504.5942847,64433.3810456,59105.7601536,70520.2307932,82000.6875310,58828.4661726,50380.4711959,53326.2895759,29689.9874881,21028.4103379,27606.9700128,26693.5606692,39706.0173251,46772.9456967,45157.1480502,42648.4704851,60583.3995071,76536.0133856,84881.3465458,119183.7954878,141536.3844654,166650.1699272,173720.7164218,173720.7164218,197517.7750941,198807.2274021,199541.3634546,198497.7945289,202226.5521490,218099.5565082,218099.5565082,227147.0977947,288806.0174728,201650.4779198,156004.5361929,293444.7235654,293668.4062212,237444.0670949,246609.1657646,235205.6332943,194136.0595845
133,獅潭,89199.6579290,56352.1827166,56352.1827166,52503.0772686,55843.8321502,49141.6418795,60082.3489717,71989.9732522,46986.3164961,42804.4077247,41408.4008841,27794.3954435,14531.9867832,31125.8994415,31002.2945873,36812.5913190,56734.7115072,55123.6373795,49118.6266663,69818.0147717,82634.5392050,81772.1972114,122221.5456868,146027.9539528,171851.3038848,178314.9703253,178314.9703253,200676.5662076,201833.8366863,202309.6984465,201190.7520429,203579.9371647,219944.3771219,219944.3771219,228059.5721470,286659.9978928,211756.1286588,167030.2802078,286528.6753593,286654.4845161,254752.3071573,263829.8898327,252425.4189535,204293.1963498
