,站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
102,C0C720,竹圍,局屬自動站,21.0,121.239824,25.112692,桃園市,大園區沙崙段沙崙小號00719-000建號(竹圍第一機動巡邏隊樓頂),2022-03-09,,,,
103,C0C730,中大臨海站,局屬自動站,5.0,121.008581,24.966126,桃園市,新屋區蚵殼港段深圳小段52-41號土地(中央大學臨海工作站),2022-03-09,,,,
104,C0C740,觀音工業區,局屬自動站,5.3,121.114856,25.064764,桃園市,觀音區經建七路5號(觀音工業區汙水處理廠迴流汙泥站機房樓頂),2022-03-09,,,,
105,C0C750,新興坑尾,局屬自動站,72.0,121.0971,25.0061,桃園市,觀音區文化路石橋段453號,2022-12-26,,,,
106,C0D360,梅花,局屬自動站,523.0,121.208558,24.678347,新竹縣,尖石鄉梅花村1鄰11號(梅花國小校園內),1987-06-01,,,,
107,C0D430,峨眉,局屬自動站,87.0,121.017189,24.6905,新竹縣,峨眉鄉31541峨眉村峨眉街54號(峨眉國中校園內),2011-12-01,,原(C1D430)站因擴充為氣象站，於2011/12/1升級為(C0D430)站。,C1D430,
108,C0D480,打鐵坑,局屬自動站,223.0,121.150789,24.849664,新竹縣,新埔鎮新北里8鄰大北坑28號旁,2008-01-01,,原(C1D480)站因擴充為氣象站，於2008/1/1升級為(C0D480)站。,C1D480,
109,C0D540,橫山,局屬自動站,227.0,121.11693,24.71116,新竹縣,橫山鄉橫山村橫山段426-6地號上,2007-10-01,,,,
110,C0D550,雪霸,局屬自動站,1956.0,121.11605,24.526972,新竹縣,五峰鄉桃山村民石380號(雪霸農場內),2007-10-01,,,,
111,C0D560,竹東,局屬自動站,147.0,121.057881,24.767147,新竹縣,竹東鎮二重國民小學校園內,2008-01-01,,原(C1D560)站因擴充為氣象站，於2008/1/1升級為(C0D560)站。,C1D560,
112,C0D580,寶山,局屬自動站,120.0,121.025192,24.735006,新竹縣,寶山鄉新湖路280號旁,2007-12-01,,,,
113,C0D590,新豐,局屬自動站,143.0,120.97721,24.87068,新竹縣,新豐鄉松柏村康和路199號(小叮噹科學主題樂園),2007-10-01,,原(C0C580)站因縣市代碼不符，於2008/2/25重新編碼為(C0D590)站。,C0C580,
114,C0D650,湖口,局屬自動站,97.0,121.043628,24.904794,新竹縣,湖口鄉信勢村三鄰成功路109號(湖口消防分隊),2013-10-01,,,,
115,C0D660,新竹市東區,局屬自動站,65.0,120.986942,24.798681,新竹市,東區光復路二段321號（工研院光復院區6館）,2014-11-01,,,,
116,C0D670,海天一線,局屬自動站,23.0,120.914438,24.831986,新竹市,北區(海天一線看海公園),2022-03-09,,,,
117,C0D680,香山濕地,局屬自動站,24.0,120.914988,24.783581,新竹市,香山區西濱路三段500巷17號,2022-03-09,,,,
118,C0D690,外湖,局屬自動站,20.0,120.968711,24.917735,新竹縣,新豐鄉新豐段00369-000建號(外湖守望哨樓頂),2022-03-09,,,,
119,C0D700,關西,局屬自動站,155.0,121.1732,24.7977,新竹縣,新竹縣關西鎮北斗里北門口41號(關西國中校園內),2023-02-19,,原(C0D390)站因移位，於2023/02/19變更為(C0D700)站。,C0D390,
120,C0E420,竹南,局屬自動站,19.0,120.888897,24.708978,苗栗縣,竹南鎮大埔里仁愛路1092號(竹南鎮大埔國民小學內),1987-06-01,,,,
121,C0E430,南庄,局屬自動站,258.0,121.000214,24.601775,苗栗縣,南庄鄉東村文化路3號(南庄國小校園內),1987-06-01,,,,
122,C0E520,大湖,局屬自動站,320.0,120.87087,24.41494,苗栗縣,大湖鄉大寮村5鄰竹高屋34-1號附近,2011-11-01,,原(C1E520)站因擴充為氣象站，於2011/11/1升級為(C0E520)站。,C1E520,
123,C0E540,後龍,局屬自動站,32.0,120.783933,24.606489,苗栗縣,後龍鎮後龍溪橋旁高地,2011-11-01,,原(C1E540)站因擴充為氣象站，於2011/11/1升級為(C0E540)站。,C1E540,
124,C0E550,明德,局屬自動站,84.0,120.885411,24.583486,苗栗縣,頭屋鄉明德水庫水利工作站屋頂上,2011-11-01,,原(C1E550)站因擴充為氣象站，於2011/11/1升級為(C0E550)站。,C1E550,
125,C0E590,通霄,局屬自動站,40.0,120.704622,24.471892,苗栗縣,通霄鎮城北里1鄰13號(通霄鎮城中國民小學內),2011-11-01,,原(C1E590)站因擴充為氣象站，於2011/11/1升級為(C0E590)站，原為土城雨量站。,C1E590,
126,C0E610,馬都安,局屬自動站,850.0,120.930192,24.451272,苗栗縣,泰安鄉錦水村(由泰安開車約2小時瞭望台旁),1990-07-21,,,,
127,C0E730,頭份,局屬自動站,26.0,120.912206,24.688247,苗栗縣,頭份市中正路219號(苗栗縣頭份鎮頭份國小校園內),2007-12-01,,,,
128,C0E740,造橋,局屬自動站,27.0,120.864778,24.637056,苗栗縣,造橋鄉造橋村14鄰3號(造橋國小),2011-11-01,,,,
129,C0E750,苗栗,局屬自動站,62.0,120.824575,24.564569,苗栗縣,苗栗市中正路241號(建功國小),2011-11-01,,,,
130,C0E780,銅鑼,局屬自動站,160.0,120.790853,24.489681,苗栗縣,銅鑼鄉福興村文化街1號(銅鑼國小),2011-11-01,,,,
131,C0E791,卓蘭,局屬自動站,366.0,120.8244,24.3126,苗栗縣,卓蘭鎮中山路125-1號(卓蘭鎮圖書館樓頂),2022-09-21,,原(C0E790)站因移位，於2022/9/21變更為(C0E791)站。,C0E790,
132,C0E810,西湖,局屬自動站,53.0,120.7485,24.562947,苗栗縣,西湖鄉二湖村2鄰22號(僑文國小),2011-11-01,,,,
133,C0E820,獅潭,局屬自動站,220.0,120.920042,24.539133,苗栗縣,獅潭鄉新店村11鄰103-2號(獅潭鄉公所圖書館樓頂),2011-12-01,,,,
134,C0E830,苑裡,局屬自動站,37.0,120.653053,24.439714,苗栗縣,苑裡鎮信義路1號(苑裡鎮公所),2013-12-01,,,,
135,C0E850,大河,局屬自動站,104.0,120.948578,24.618069,苗栗縣,三灣鄉大河村48號(大河派出所),2015-08-04,,,,
136,C0E870,高鐵苗栗,局屬自動站,34.0,120.826094,24.60725,苗栗縣,後龍鎮高鐵三路268號(高鐵苗栗站外),2017-08-01,,,,
137,C0E880,三義,局屬自動站,507.0,120.74982,24.40548,苗栗縣,苗栗縣三義鄉130縣道13.5K附近（慈濟山茶園內）,2020-01-07,,,,
138,C0E910,海埔,局屬自動站,25.0,120.772435,24.648767,苗栗縣,後龍鎮海埔125之15號(外埔安檢所樓頂),2022-03-09,,,,
