name,description
mn_Report_202108.xml,2021年局屬地面測站08月氣象資料
mn_Report_202109.xml,2021年局屬地面測站09月氣象資料
mn_Report_202110.xml,2021年局屬地面測站10月氣象資料
mn_Report_202111.xml,2021年局屬地面測站11月氣象資料
mn_Report_202112.xml,2021年局屬地面測站12月氣象資料
mn_Report_202201.xml,2022年局屬地面測站01月氣象資料
mn_Report_202202.xml,2022年局屬地面測站02月氣象資料
mn_Report_202203.xml,2022年局屬地面測站03月氣象資料
mn_Report_202204.xml,2022年局屬地面測站04月氣象資料
mn_Report_202205.xml,2022年局屬地面測站05月氣象資料
mn_Report_202206.xml,2022年局屬地面測站06月氣象資料
mn_Report_202207.xml,2022年局屬地面測站07月氣象資料
mn_Report_202208.xml,2022年局屬地面測站08月氣象資料
mn_Report_202209.xml,2022年局屬地面測站09月氣象資料
mn_Report_202210.xml,2022年局屬地面測站10月氣象資料
mn_Report_202211.xml,2022年局屬地面測站11月氣象資料
mn_Report_202212.xml,2022年局屬地面測站12月氣象資料
